session_id,src_ip,first_seen,protocols,connection_count,unique_ports,login_attempt_count,has_download,session_duration_s,label,justificativa,label_revisado,revisor_concorda
real-000008,102.45.123.181,2026-09-03T03:42:00,smbd,517,1,0,0,1524.984,connection_flood,517 conexoes na sessao,,
real-000009,102.46.50.28,2026-09-03T03:42:00,smbd,457,1,0,0,1524.325,connection_flood,457 conexoes na sessao,,
real-000013,103.121.212.170,2026-09-05T08:34:12,smbd,3103,1,0,0,2614.879,connection_flood,3103 conexoes na sessao,,
real-000015,103.163.98.73,2026-08-28T02:35:25,smbd,1812,1,0,0,1443.978,connection_flood,1812 conexoes na sessao,,
real-000016,103.163.98.73,2026-08-28T05:05:42,smbd,107,1,0,0,70.191,connection_flood,107 conexoes na sessao,,
real-000026,103.3.221.107,2026-09-03T12:03:23,smbd,3062,1,0,0,5776.869,connection_flood,3062 conexoes na sessao,,
real-000027,103.77.246.153,2026-09-05T10:58:19,mssqld,850,1,0,0,413.777,connection_flood,850 conexoes na sessao,,
real-000030,103.81.13.35,2026-09-05T05:57:12,smbd,3102,1,0,0,2422.043,connection_flood,3102 conexoes na sessao,,
real-000055,106.51.5.102,2026-09-04T01:31:53,smbd,1728,1,0,0,1627.263,connection_flood,1728 conexoes na sessao,,
real-000056,106.51.5.102,2026-09-04T02:43:36,smbd,1423,1,0,0,1144.622,connection_flood,1423 conexoes na sessao,,
real-000069,110.40.136.32,2026-09-03T00:32:14,mysqld,101,1,0,0,69.926,connection_flood,101 conexoes na sessao,,
real-000079,113.180.23.205,2026-08-24T06:41:22,smbd,950,1,0,0,901.526,connection_flood,950 conexoes na sessao,,
real-000090,115.78.129.124,2026-08-29T02:56:22,smbd,3149,1,0,0,2876.44,connection_flood,3149 conexoes na sessao,,
real-000144,122.51.93.217,2026-09-01T20:40:46,mysqld,101,1,0,0,59.195,connection_flood,101 conexoes na sessao,,
real-000145,122.54.217.55,2026-08-31T05:54:32,smbd,949,1,0,0,916.594,connection_flood,949 conexoes na sessao,,
real-000153,124.109.62.55,2026-08-29T21:12:18,smbd,3102,1,0,0,2245.728,connection_flood,3102 conexoes na sessao,,
real-000160,128.65.109.253,2026-09-01T16:51:32,smbd,868,1,0,0,819.098,connection_flood,868 conexoes na sessao,,
real-000184,136.67.80.188,2026-08-29T23:47:52,httpd,620,1,0,0,27.937,connection_flood,620 conexoes na sessao,,
real-000217,14.191.6.58,2026-09-03T06:05:32,smbd,3152,1,0,0,2739.644,connection_flood,3152 conexoes na sessao,,
real-000225,14.241.97.42,2026-08-25T04:35:35,smbd,3148,1,0,0,2590.524,connection_flood,3148 conexoes na sessao,,
real-000289,148.113.204.110,2026-09-04T09:25:36,mysqld,101,1,0,0,7.673,connection_flood,101 conexoes na sessao,,
real-000336,156.207.162.85,2026-08-24T00:17:45,smbd,3109,1,0,0,1472.268,connection_flood,3109 conexoes na sessao,,
real-000406,171.248.163.36,2026-08-26T21:48:10,smbd,441,1,0,0,375.689,connection_flood,441 conexoes na sessao,,
real-000407,171.248.163.36,2026-08-27T00:55:19,smbd,449,1,0,0,409.499,connection_flood,449 conexoes na sessao,,
real-000482,178.80.25.115,2026-08-31T14:36:51,smbd,856,1,0,0,546.181,connection_flood,856 conexoes na sessao,,
real-000545,181.91.168.201,2026-09-02T14:00:18,smbd,544,1,0,0,367.094,connection_flood,544 conexoes na sessao,,
real-000666,187.72.144.91,2026-08-24T21:42:19,smbd,726,1,0,0,410.841,connection_flood,726 conexoes na sessao,,
real-000876,2.179.8.56,2026-09-05T16:48:28,smbd,3154,1,0,0,2139.104,connection_flood,3154 conexoes na sessao,,
real-000982,201.222.2.133,2026-08-31T10:36:11,smbd,3146,1,0,0,1134.556,connection_flood,3146 conexoes na sessao,,
real-001069,210.65.11.145,2026-08-31T15:29:28,smbd,11004,1,0,0,8961.855,connection_flood,11004 conexoes na sessao,,
real-001146,223.204.190.189,2026-08-24T06:11:18,smbd,3108,1,0,0,2696.363,connection_flood,3108 conexoes na sessao,,
real-001155,3.101.20.239,2026-08-24T14:56:51,httpd,276,1,0,0,103.386,connection_flood,276 conexoes na sessao,,
real-000017,103.174.254.70,2026-09-02T03:22:01,smbd,5,1,0,1,188.568,malware_download,binario baixado pelo atacante,,
real-000028,103.81.105.186,2026-09-05T01:25:44,smbd,5,1,0,1,190.606,malware_download,binario baixado pelo atacante,,
real-000050,105.116.13.17,2026-09-03T19:06:42,smbd,5,1,0,1,72.248,malware_download,binario baixado pelo atacante,,
real-000068,110.25.99.185,2026-09-01T23:15:26,smbd,5,1,0,1,189.65,malware_download,binario baixado pelo atacante,,
real-000195,138.2.56.225,2026-08-25T13:13:59,smbd,5,1,0,1,213.896,malware_download,binario baixado pelo atacante,,
real-000331,154.236.115.96,2026-09-01T05:39:50,smbd,5,1,0,1,189.468,malware_download,binario baixado pelo atacante,,
real-000341,159.0.96.47,2026-09-05T18:49:32,smbd,5,1,0,1,188.303,malware_download,binario baixado pelo atacante,,
real-000404,170.155.12.18,2026-08-30T23:24:40,smbd,5,1,0,1,188.055,malware_download,binario baixado pelo atacante,,
real-000665,187.51.169.178,2026-09-04T10:35:42,smbd,5,1,0,1,187.753,malware_download,binario baixado pelo atacante,,
real-000991,203.189.252.115,2026-08-31T00:43:08,smbd,5,1,0,1,190.139,malware_download,binario baixado pelo atacante,,
real-001143,223.100.90.143,2026-08-24T00:38:36,smbd,5,1,0,1,70.345,malware_download,binario baixado pelo atacante,,
real-001295,36.142.80.42,2026-08-27T03:52:07,smbd,5,1,0,1,190.275,malware_download,binario baixado pelo atacante,,
real-001296,36.70.14.108,2026-08-31T23:37:12,smbd,5,1,0,1,190.745,malware_download,binario baixado pelo atacante,,
real-001297,36.80.152.88,2026-09-04T00:40:20,smbd,5,1,0,1,190.555,malware_download,binario baixado pelo atacante,,
real-001470,49.207.3.226,2026-08-29T13:02:57,smbd,5,1,0,1,188.821,malware_download,binario baixado pelo atacante,,
real-002009,89.218.245.226,2026-08-31T09:41:32,smbd,5,1,0,1,188.242,malware_download,binario baixado pelo atacante,,
real-002011,89.46.60.13,2026-08-26T05:41:49,smbd,5,1,0,1,188.536,malware_download,binario baixado pelo atacante,,
real-002082,95.165.228.110,2026-08-31T12:40:18,smbd,5,1,0,1,187.72,malware_download,binario baixado pelo atacante,,
real-000076,112.64.178.70,2026-08-26T00:07:59,mssqld,11,1,10,0,8.1,credential_bruteforce,10 tentativas de login,,
real-000552,182.247.5.84,2026-08-31T05:35:02,mssqld,11,1,10,0,151.666,credential_bruteforce,10 tentativas de login,,
real-001082,213.209.159.115,2026-08-27T23:25:35,mysqld,153,1,153,0,59.936,credential_bruteforce,153 tentativas de login,,
real-001088,213.209.159.115,2026-08-29T20:15:19,mysqld,153,1,153,0,59.709,credential_bruteforce,153 tentativas de login,,
real-001094,213.209.159.115,2026-08-31T16:48:10,mysqld,155,1,154,0,60.018,credential_bruteforce,154 tentativas de login,,
real-001100,213.209.159.115,2026-09-02T13:55:53,mysqld,153,1,153,0,59.78,credential_bruteforce,153 tentativas de login,,
real-001106,213.209.159.115,2026-09-04T10:56:55,mysqld,154,1,154,0,59.811,credential_bruteforce,154 tentativas de login,,
real-001147,223.233.74.197,2026-08-27T03:36:04,mssqld|smbd,1440,2,215,0,5707.654,credential_bruteforce,215 tentativas de login,,
real-001732,77.90.185.21,2026-08-28T01:51:39,mysqld,125,1,124,0,101.516,credential_bruteforce,124 tentativas de login,,
real-001738,77.90.185.21,2026-08-29T23:10:22,mysqld,123,1,123,0,59.564,credential_bruteforce,123 tentativas de login,,
real-001744,77.90.185.21,2026-08-31T20:14:27,mysqld,123,1,123,0,59.829,credential_bruteforce,123 tentativas de login,,
real-001750,77.90.185.21,2026-09-02T17:17:58,mysqld,123,1,123,0,59.723,credential_bruteforce,123 tentativas de login,,
real-001756,77.90.185.21,2026-09-04T15:00:32,mysqld,111,1,110,0,83.366,credential_bruteforce,110 tentativas de login,,
real-001762,77.90.185.30,2026-08-27T05:17:07,mysqld,124,1,124,0,59.812,credential_bruteforce,124 tentativas de login,,
real-001768,77.90.185.30,2026-08-27T16:18:34,mysqld,121,1,121,0,59.669,credential_bruteforce,121 tentativas de login,,
real-001774,77.90.185.30,2026-08-28T03:16:52,mysqld,124,1,124,0,59.761,credential_bruteforce,124 tentativas de login,,
real-001780,77.90.185.30,2026-08-28T11:53:52,mysqld,108,1,108,0,59.981,credential_bruteforce,108 tentativas de login,,
real-001786,77.90.185.30,2026-08-28T20:42:30,mysqld,124,1,124,0,59.575,credential_bruteforce,124 tentativas de login,,
real-001792,77.90.185.30,2026-08-29T05:18:03,mysqld,125,1,124,0,59.951,credential_bruteforce,124 tentativas de login,,
real-001798,77.90.185.30,2026-08-29T15:28:54,mysqld,105,1,105,0,59.977,credential_bruteforce,105 tentativas de login,,
real-001804,77.90.185.30,2026-08-29T23:59:13,mysqld,123,1,123,0,59.974,credential_bruteforce,123 tentativas de login,,
real-001810,77.90.185.30,2026-08-30T08:25:48,mysqld,123,1,123,0,59.707,credential_bruteforce,123 tentativas de login,,
real-001816,77.90.185.30,2026-08-30T16:38:24,mysqld,98,1,98,0,58.936,credential_bruteforce,98 tentativas de login,,
real-001822,77.90.185.30,2026-08-31T00:51:24,mysqld,123,1,123,0,59.61,credential_bruteforce,123 tentativas de login,,
real-001828,77.90.185.30,2026-08-31T09:03:02,mysqld,120,1,120,0,59.709,credential_bruteforce,120 tentativas de login,,
real-001834,77.90.185.30,2026-08-31T17:09:54,mysqld,120,1,120,0,59.553,credential_bruteforce,120 tentativas de login,,
real-001840,77.90.185.30,2026-09-01T01:17:25,mysqld,123,1,123,0,59.745,credential_bruteforce,123 tentativas de login,,
real-001846,77.90.185.30,2026-09-01T09:24:13,mysqld,123,1,123,0,59.715,credential_bruteforce,123 tentativas de login,,
real-001852,77.90.185.30,2026-09-01T17:24:57,mysqld,106,1,106,0,59.952,credential_bruteforce,106 tentativas de login,,
real-001858,77.90.185.30,2026-09-02T01:19:17,mysqld,123,1,123,0,59.841,credential_bruteforce,123 tentativas de login,,
real-001864,77.90.185.30,2026-09-02T09:08:06,mysqld,113,1,113,0,59.713,credential_bruteforce,113 tentativas de login,,
real-001870,77.90.185.30,2026-09-02T17:17:26,mysqld,124,1,124,0,59.942,credential_bruteforce,124 tentativas de login,,
real-001876,77.90.185.30,2026-09-03T01:02:04,mysqld,124,1,123,0,59.764,credential_bruteforce,123 tentativas de login,,
real-000137,122.173.26.72,2026-08-24T02:58:55,mssqld|smbd,1800,2,0,0,1952.405,port_scan,2 portas distintas,,
real-000138,122.173.26.72,2026-08-24T04:01:12,mssqld|smbd,685,2,0,0,908.362,port_scan,2 portas distintas,,
real-000139,122.173.26.72,2026-08-24T08:43:50,mssqld|smbd,691,2,0,0,901.531,port_scan,2 portas distintas,,
real-000213,14.117.219.96,2026-08-30T02:05:28,mssqld|smbd,4675,2,0,0,117.79,port_scan,2 portas distintas,,
real-000232,142.93.55.36,2026-08-30T05:19:31,ftpd|mqttd|mysqld|pptpd|smbd,7,5,0,0,0.257,port_scan,5 portas distintas,,
real-000437,172.232.160.26,2026-08-22T22:44:05,ftpd|mssqld|mysqld|pptpd|smbd,5,5,0,0,16.114,port_scan,5 portas distintas,,
real-001199,3.131.220.121,2026-09-02T05:50:26,mssqld|pptpd,9,2,0,0,440.767,port_scan,2 portas distintas,,
real-001426,45.79.190.133,2026-08-22T22:36:55,ftpd|mssqld|mysqld|pptpd|smbd,5,5,0,0,21.604,port_scan,5 portas distintas,,
real-001607,66.132.172.43,2026-09-05T01:57:20,httpd|smbd,10,2,0,0,38.787,port_scan,2 portas distintas,,
real-001674,66.228.34.203,2026-08-31T17:13:30,ftpd|httpd,19,2,0,0,36.806,port_scan,2 portas distintas,,
real-001899,8.217.19.32,2026-09-04T13:34:44,epmapper|ftpd|mqttd|mysqld|pptpd|smbd,6,6,0,0,13.271,port_scan,6 portas distintas,,
real-000320,152.32.183.13,2026-08-25T18:45:09,epmapper,9,1,0,0,98.324,exploit_attempt,requisicao DCERPC (exploracao de SMB/RPC),,
real-000321,152.32.183.13,2026-08-25T18:51:56,epmapper,5,1,0,0,168.422,exploit_attempt,requisicao DCERPC (exploracao de SMB/RPC),,
real-000570,185.242.226.18,2026-09-01T08:19:38,smbd,36,1,0,0,60.635,exploit_attempt,requisicao DCERPC (exploracao de SMB/RPC),,
real-000874,199.45.154.48,2026-09-04T14:35:18,epmapper,1,1,0,0,0.0,exploit_attempt,requisicao DCERPC (exploracao de SMB/RPC),,
real-001433,46.105.132.55,2026-08-26T17:38:02,smbd,3,1,0,0,102.001,exploit_attempt,requisicao DCERPC (exploracao de SMB/RPC),,
real-001446,47.251.180.216,2026-08-27T01:22:59,epmapper,4,1,0,0,29.449,exploit_attempt,requisicao DCERPC (exploracao de SMB/RPC),,
real-001447,47.251.180.76,2026-08-27T23:02:38,epmapper,4,1,0,0,29.452,exploit_attempt,requisicao DCERPC (exploracao de SMB/RPC),,
real-001616,66.132.186.180,2026-08-26T12:32:48,ftpd,1,1,0,0,0.0,exploit_attempt,requisicao DCERPC (exploracao de SMB/RPC),,
real-001617,66.132.186.180,2026-09-05T00:56:55,epmapper,1,1,0,0,0.0,exploit_attempt,requisicao DCERPC (exploracao de SMB/RPC),,
